time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,SMA_50,RSI,Signal
1750360260,5928.36,5928.86,5927.36,5927.61,25,40,0,5924.8724999999995,5926.549999999999,60.3448275862069,-1
1750360320,5927.61,5928.61,5927.61,5928.61,7,40,0,5925.085,5926.52,86.66666666666667,-1
1750360380,5928.61,5928.61,5928.36,5928.61,5,40,0,5925.36,5926.535,86.66666666666667,-1
1750360440,5928.86,5928.86,5927.86,5928.36,17,40,0,5925.5725,5926.54,82.05128205128204,-1
1750360500,5928.36,5928.61,5928.36,5928.36,3,40,0,5925.735,5926.544999999999,80.55555555555556,-1
1750360560,5928.36,5929.36,5928.11,5929.36,15,40,0,5926.009999999999,5926.565,84.61538461538461,-1
1750360620,5929.36,5929.61,5928.61,5929.36,9,40,0,5926.2474999999995,5926.6,81.25,-1
1750360680,5929.36,5929.36,5929.11,5929.36,4,40,0,5926.697499999999,5926.605,78.57142857142857,1
1750360740,5929.36,5929.86,5929.11,5929.36,7,40,0,5927.147499999999,5926.5999999999985,72.72727272727272,1
1750360800,5929.36,5930.11,5929.11,5930.11,13,40,0,5927.5475,5926.625,76.0,1
1750360860,5930.11,5931.61,5929.86,5931.11,26,40,0,5927.96,5926.7,73.91304347826087,1
1750360920,5931.11,5931.61,5930.61,5930.61,12,40,0,5928.36,5926.765,68.0,1
1750360980,5930.61,5931.36,5930.36,5930.61,14,40,0,5928.6725,5926.824999999999,73.91304347826087,1
1750361040,5930.61,5931.61,5930.61,5931.61,9,40,0,5928.985,5926.94,76.0,1
1750361100,5931.61,5932.86,5931.61,5932.36,15,40,0,5929.26,5927.12,88.0,1
1750361160,5932.36,5932.61,5931.36,5931.61,13,40,0,5929.4974999999995,5927.3,75.0,1
1750361220,5931.61,5932.36,5931.61,5932.11,5,40,0,5929.6849999999995,5927.45,76.92307692307693,1
1750361280,5932.11,5932.23,5932.11,5932.11,5,40,0,5929.8724999999995,5927.574999999999,80.0,1
1750361340,5932.36,5932.36,5932.11,5932.36,6,40,0,5930.0975,5927.69,80.76923076923077,1
1750361400,5932.36,5932.61,5932.11,5932.36,16,40,0,5930.2975,5927.775,77.27272727272727,1
1750361460,5932.36,5932.36,5931.36,5932.11,15,40,0,5930.5225,5927.885,73.91304347826087,1
1750361520,5932.11,5932.11,5931.11,5931.36,10,40,0,5930.659999999999,5927.984999999999,65.38461538461539,1
1750361580,5931.36,5931.61,5928.61,5930.48,41,40,0,5930.7535,5928.0574,57.588075880757955,1
1750361640,5930.36,5932.98,5930.36,5932.36,46,40,0,5930.9535,5928.1274,63.21974148061071,1
1750361700,5932.48,5932.61,5931.61,5932.11,39,40,0,5931.141,5928.1874,56.44329896907198,1
1750361760,5932.11,5932.36,5929.86,5930.36,35,40,0,5931.191,5928.207399999998,48.61265260821313,1
1750361820,5930.61,5931.36,5930.23,5930.61,54,40,0,5931.253500000001,5928.2074,50.0,1
1750361880,5930.61,5931.61,5930.36,5930.36,32,40,0,5931.3035,5928.2274,42.65569917743849,1
1750361940,5930.48,5930.48,5928.86,5929.48,46,40,0,5931.3095,5928.2198,33.33333333333333,1
1750362000,5929.61,5930.11,5929.36,5930.11,33,40,0,5931.3095,5928.234799999998,41.197183098592,1
1750362060,5930.11,5930.61,5929.36,5929.36,40,40,0,5931.222,5928.2898,34.32155074116383,1
1750362120,5929.36,5931.11,5929.11,5930.73,29,40,0,5931.228,5928.4172,43.19526627218903,1
1750362180,5930.61,5930.73,5929.11,5929.36,40,40,0,5931.1655,5928.5422,36.67850799289546,1
1750362240,5929.61,5931.11,5929.61,5930.36,31,40,0,5931.103,5928.6672,41.84339314845039,1
1750362300,5930.36,5930.36,5928.23,5928.48,101,40,0,5930.909,5928.7346,36.9330453563714,1
1750362360,5928.86,5928.86,5926.86,5928.48,75,40,0,5930.7525,5928.826999999999,39.04109589041081,1
1750362420,5928.61,5929.36,5928.11,5929.36,43,40,0,5930.615,5928.922,45.73820395738256,1
1750362480,5929.36,5931.36,5929.36,5930.11,38,40,0,5930.514999999999,5929.117000000001,40.632805995004325,1
1750362540,5930.36,5930.36,5929.11,5929.36,41,40,0,5930.365,5929.297,39.008792965627684,1
1750362600,5929.61,5931.36,5929.61,5931.11,46,40,0,5930.3025,5929.477,52.99760191846518,1
1750362660,5931.11,5931.23,5930.11,5930.86,37,40,0,5930.24,5929.637,50.99920063948839,1
1750362720,5930.98,5931.61,5928.86,5929.11,31,40,0,5930.1275000000005,5929.767,45.53890078515353,1
1750362780,5929.11,5929.61,5928.86,5928.86,42,40,0,5930.0464999999995,5929.857,47.683109118087124,1
